index_of_curve,max_angle_difference,point_dis,dis
0.0,0.0,498.0642528830994,1.0
0.0,0.0,415.0012048175282,10.0
0.0,0.0,399.0313270909942,11.0
0.0,0.0,398.0113063720678,12.0
0.0,0.0,368.01222805771005,13.0
0.0,0.0,368.00135869314397,14.0
0.0,0.0,349.11602655850675,15.0
0.0,0.0,500.50374623972596,2.0
0.0,0.0,501.0249494785664,3.0
0.0,0.0,499.4006407685116,4.0
0.0,0.0,474.06750574153466,5.0
0.0,0.0,474.00105485114693,6.0
0.0,0.0,449.01781701843413,7.0
0.0,0.0,433.0011547328713,8.0
0.0,0.0,412.01092218532267,9.0
